10,	 S.P.D. Smith,	 	Australia,      936,	England,        2015
21,	 J.E. Root,		England,        917,	Australia,      2015
35,	 K.S. Williamson,	New Zealand,	893,	Australia,      2015
11,	 A.B. de Villiers,	South Africa,	935,	Australia,      2014
44,	 D.A. Warner,	 	Australia,      880,	India,          2014
47,	 A.D. Mathews,	 	Sri Lanka,      877,	New Zealand,	2014
75,	 Misbah-ul-Haq,	 	Pakistan,       842,	New Zealand,	2014
28,	 H.M. Amla,		South Africa,	907,	Pakistan,       2013
57,	 R.L. Taylor,	 	New Zealand,	871,	West Indies,	2013
68,	 C.A. Pujara,	 	India,          851,	South Africa,	2013
30,	 M.J. Clarke,	 	Australia,      900,	Sri Lanka,      2012
53,	 A.N. Cook,		England,        874,	India,          2012
64,	 I.J.L. Trott,	 	England,        856,	Sri Lanka,      2011
83,	 I.R. Bell,		England,        822,	India,          2011
62,	 V. Sehwag,		India,          866,	Sri Lanka,      2010
74,	 G.C. Smith,	 	South Africa,	843,	England,        2010
95,	 S.M. Katich,	 	Australia,      807,	Pakistan,       2010
39,	 G. Gambhir,		India,          886,	Sri Lanka,      2009
42,	 D.P. Jayawardene,	Sri Lanka,      883,	India,          2009
44,	 Younus Khan,	 	Pakistan,       880,	Sri Lanka,      2009
19,	 M.E.K. Hussey,	 	Australia,      921,	West Indies,	2008
29,	 S. Chanderpaul,	West Indies,	901,	New Zealand,	2008
6,	 K.C. Sangakkara,	Sri Lanka,      938,	England,        2007
11,	 J.H. Kallis,	 	South Africa,	935,	New Zealand,	2007
27,	 K.P. Pietersen,	England,        909,	West Indies,	2007
3,	 R.T. Ponting,	 	Australia,      942,	England,        2006
14,	 Mohammad Yousuf,	Pakistan,       933,	West Indies,	2006
36,	 R. Dravid,		India,          892,	Pakistan,       2005
59,	 Inzamam-ul-Haq,	Pakistan,       870,	England,        2005
70,	 D.R. Martyn,	 	Australia,      848,	New Zealand,	2005
87,	 M.E. Trescothick,	England,        818,	Pakistan,       2005
26,	 B.C. Lara,	        West Indies,	911,	South Africa,	2004
79,	 H.H. Gibbs,	 	South Africa,	825,	West Indies,	2004
50,	 M.P. Vaughan,	 	England,        876,	Australia,      2003
11,	 M.L. Hayden,	 	Australia,      935,	England,        2002
31,	 S.R. Tendulkar,	India,          898,	Zimbabwe,       2002
53,	 A.C. Gilchrist,	Australia,      874,	South Africa,	2002
33,	 A. Flower,		Zimbabwe,       895,	South Africa,	2001
81,	 Saeed Anwar,	 	Pakistan,       824,	Australia,      1999
33,	 S.R. Waugh,	 	Australia,      895,	England,        1997
90,	 J.C. Adams,	 	West Indies,	813,	Australia,      1995
56,	 G.A. Gooch,	 	England,        873,	Pakistan,       1992
93,	 R.A. Smith,	 	England,        809,	West Indies,	1991
41,	 Javed Miandad,	 	Pakistan,       885,	New Zealand,	1989
50,	 R.B. Richardson,	West Indies,	876,	India,          1989
76,	 D.B. Vengsarkar,	India,          837,	New Zealand,	1988
83,	 D.I. Gower,	 	England,        822,	West Indies,	1986
72,	 C.G. Greenidge,	West Indies,	844,	England,        1984
87,	 C.H. Lloyd,	 	West Indies,	818,	India,          1983
97,	 Zaheer Abbas,	 	Pakistan,       803,	India,          1983
91,	 I.T. Botham,	 	England,        811,	India,          1982
6,	 I.V.A. Richards,	West Indies,	938,	England,        1981
47,	 A.R. Border,	 	Australia,      877,	England,        1981
77,	 K.J. Hughes,	 	Australia,      828,	India,          1981
96,	 G.P. Howarth,	 	New Zealand,	804,	India,          1981
23,	 S.M. Gavaskar,		India,          916,	England,        1979
57,	 G.R. Viswanath,	India,          871,	Australia,      1979
42,	 G.S. Chappell,	 	Australia,      883,	Pakistan,       1977
62,	 A.I. Kallicharran,	West Indies,	866,	Australia,      1975
91,	 I.M. Chappell,	 	Australia,      811,	West Indies,	1975
71,	 G.M. Turner,	 	New Zealand,	845,	Australia,      1974
79,	 D.L. Amiss,	 	England,        825,	India,          1974
